Event, subcl, eta_center, phi_center, time_center, eta_sig, phi_sig, etaphi_cov, timeeta_cov, energy, sw+
160, 0, -0.67811, 4.67894, -0.111359, 0.0182907, 0.0214111, 0.000749729, -0.0347974, 100.843, 0.96979
1539, 0, -0.051211, 6.22378, -0.125253, 0.0185213, 0.0184855, -0.0124852, 0.046136, 48.871, 0.216895
1541, 0, -0.659622, 3.103, -0.134535, 0.0225672, 0.0238456, 0.00536757, 0.142437, 78.2916, 0.561621
1545, 0, -0.473742, 0.792015, 0.163455, 0.0183585, 0.0184123, -0.00623937, -0.240316, 79.9097, 0.192828
1548, 0, -0.735464, 4.11268, 0.398294, 0.0235998, 0.0187131, -0.0457323, 0.38419, 25.4633, 1.29912
1553, 0, -0.472214, 1.81441, 0.153258, 0.018388, 0.0282064, 0.0218499, 0.0621316, 80.0383, 0.411623
1554, 0, -0.678053, 4.40751, 0.550635, 0.0180583, 0.0185205, 0.0029885, 0.00295686, 148.011, 0.128275
1559, 0, -0.84643, 4.63422, -0.135933, 0.0211159, 0.0185277, -0.00319868, 0.0778273, 95.6815, 1.14078
1563, 0, 0.715308, 0.0724892, 0.0771297, 0.0188846, 0.0199501, -0.00392144, -0.139971, 474.832, 0.652138
1590, 0, 1.11435, 3.40471, 0.265372, 0.0190043, 0.0448574, 0.0102568, 0.0264337, 252.491, 0.872297
1599, 0, -1.04428, 0.428842, -0.607183, 0.0182122, 0.0237658, 0.0116389, 0.123718, 77.7428, 0.659028
1604, 0, -1.05747, 2.39675, 0.0420503, 0.0189678, 0.0295184, 0.0309636, -0.0937405, 384.931, 1.2595
1607, 0, -1.15411, 5.05068, 0.267752, 0.0229412, 0.0203478, 0.130343, 0.386749, 127.647, 0.486522
1611, 0, 0.364915, 0.291088, -0.104112, 0.0181705, 0.0186535, 0.0169984, 0.0767132, 42.0623, 0.258507
1615, 0, -0.350454, 0.262882, 0.216242, 0.0217909, 0.0237955, 0.28781, 0.141227, 17.1178, 0.560397
1617, 0, -0.141078, 3.76397, 0.141004, 0.0212838, 0.0184008, 0.00833657, -0.337328, 16.8773, 0.686489
162, 0, -0.553396, 6.15419, 0.0206134, 0.0200644, 0.0193132, -0.0012312, 0.0332655, 472.822, 0.732391
164, 0, 0.959736, 2.78586, 0.276973, 0.0206928, 0.0199685, 0.121222, 0.265506, 79.1478, 0.318339
166, 0, 0.189562, 0.950505, 0.243726, 0.0183243, 0.0533165, 0.0921633, 0.099059, 47.1936, 0.356286
168, 0, -1.09672, 0.0897269, -0.115932, 0.0186559, 0.0283948, -0.0284109, 0.0810859, 85.6633, 0.830482
169, 0, -0.191541, 2.45332, -0.189214, 0.0186038, 0.0189624, -0.00815664, 0.0930214, 208.396, 0.189268
1620, 0, 0.11799, 4.83538, -0.128604, 0.0221153, 0.0389532, -0.187106, 0.000240137, 173.091, 1.14118
1629, 0, 1.38034, 1.70778, 0.0339488, 0.0196849, 0.0324847, -0.0852858, -0.0234614, 85.8853, 1.07829
1636, 0, -0.67621, 3.13645, 0.37361, 0.0189347, 0.0195622, 0.0117188, -0.0878498, 250.26, 0.408538
1639, 0, 0.190362, 2.24076, 0.016253, 0.0183383, 0.0184441, -0.00304959, -0.0825737, 68.3462, 0.165208
1640, 0, -0.764832, 2.66439, -0.136433, 0.0183896, 0.0188798, 0.00236258, 0.035623, 386.499, 0.207916
1641, 0, -0.262117, 4.81189, -0.254145, 0.018653, 0.0188741, -0.0217053, 0.31338, 38.1687, 0.3022
1643, 0, 1.06138, 1.04165, -0.367593, 0.0182106, 0.0187326, 0.00382651, -0.0270571, 46.0132, 0.246189
1655, 0, -0.52603, 2.58979, 0.0585217, 0.0182996, 0.0183242, 0.00093852, 0.0685503, 47.9521, 0.166844
1660, 0, -0.48995, 0.827742, 0.291851, 0.0182647, 0.0185221, -0.00341628, -0.127511, 58.3699, 0.151168
1661, 0, -0.434856, 0.0427897, 0.0365687, 0.0187718, 0.0187724, -0.0104667, -0.080996, 128.359, 0.0989585
1665, 0, -0.889092, 4.60935, 0.188147, 0.0190677, 0.0219916, 0.0935312, -0.0601937, 65.4022, 1.02626
1667, 0, 1.31311, 1.73761, -0.453702, 0.0196491, 0.0184367, -0.00206396, 0.086944, 96.2637, 0.780351
1669, 0, -1.11304, 4.9233, 0.147431, 0.0185712, 0.019923, 8.88071e-05, -0.0996576, 243.303, 0.632603
1680, 0, -1.27539, 1.61413, -0.332533, 0.0189191, 0.0185179, 0.0118054, -0.204546, 89.6957, 0.341974
1687, 0, -0.469894, 1.87481, -0.179048, 0.0186073, 0.0540746, -0.0147583, -0.0853284, 33.4727, 0.566616
1702, 0, -0.74762, 4.49514, 0.271497, 0.0184913, 0.0186847, -0.0156722, 0.0198515, 51.5541, 0.199424
1706, 0, 1.01893, 0.708597, -0.105851, 0.0206654, 0.0244209, 0.0964367, 0.0773881, 506.455, 0.964284
177, 0, 0.0831131, 3.03364, 0.133228, 0.0188235, 0.0194807, -0.00692909, 0.00476534, 71.3254, 0.501422
178, 0, 0.0658389, 0.94672, -0.350698, 0.0181764, 0.0741158, 0.0126372, -0.0139175, 27.9639, 0.222489
